epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,251.61,0.6876,0.7252,1.13885,0.75933,0.5,0.5187,0.30141,1.68037,1.84175,1.39768,2.95535e-05,2.95535e-05,2.95535e-05
59,255.67,0.80964,0.98812,1.22389,0.75933,0.5,0.5187,0.30141,1.68037,1.84175,1.39768,2.93887e-05,2.93887e-05,2.93887e-05
60,259.771,0.99913,1.10769,1.41291,0.75761,0.5,0.52156,0.3034,1.69518,1.87029,1.40555,2.92003e-05,2.92003e-05,2.92003e-05
61,263.801,0.62996,0.80297,1.0922,0.75761,0.5,0.52156,0.3034,1.69518,1.87029,1.40555,2.89884e-05,2.89884e-05,2.89884e-05
62,267.876,0.64752,0.72857,1.1191,0.75761,0.5,0.52156,0.3034,1.69518,1.87029,1.40555,2.87529e-05,2.87529e-05,2.87529e-05
63,272.01,1.33068,1.65602,1.74288,0.74875,0.5,0.51922,0.29346,1.69044,1.9316,1.40617,2.84938e-05,2.84938e-05,2.84938e-05
64,276.776,0.78638,0.92542,1.14291,0.74875,0.5,0.51922,0.29346,1.69044,1.9316,1.40617,2.82112e-05,2.82112e-05,2.82112e-05
65,280.895,0.85264,0.71679,1.14691,0.74875,0.5,0.51922,0.29346,1.69044,1.9316,1.40617,2.7905e-05,2.7905e-05,2.7905e-05
66,285.015,0.71486,0.69696,1.16815,0.75721,0.5,0.52075,0.3013,1.72368,1.9985,1.42817,2.75753e-05,2.75753e-05,2.75753e-05
67,289.111,0.67458,0.59032,1.03876,0.75721,0.5,0.52075,0.3013,1.72368,1.9985,1.42817,2.7222e-05,2.7222e-05,2.7222e-05
